2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py).__init__(33) | Cache instruments map exist
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1750-P.none.1.100ms', 'data': {'timestamp': 1690204008190, 'instrument_name': 'ETH-26JUL23-1750-P', 'change_id': 34499483713, 'bids': [[0.0006, 357.0]], 'asks': [[0.001, 46.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1800-C.none.1.100ms'], 'usIn': 1690204008396781, 'usOut': 1690204008396883, 'usDiff': 102, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1800-C.none.1.100ms', 'data': {'timestamp': 1690204008187, 'instrument_name': 'ETH-26JUL23-1800-C', 'change_id': 34499098776, 'bids': [[0.0235, 45.0]], 'asks': [[0.0365, 43.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1800-P.none.1.100ms'], 'usIn': 1690204008471451, 'usOut': 1690204008471559, 'usDiff': 108, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1800-P.none.1.100ms', 'data': {'timestamp': 1690204008189, 'instrument_name': 'ETH-26JUL23-1800-P', 'change_id': 34499492707, 'bids': [[0.002, 64.0]], 'asks': [[0.0023, 49.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1825-C.none.1.100ms'], 'usIn': 1690204008505685, 'usOut': 1690204008505798, 'usDiff': 113, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1825-C.none.1.100ms', 'data': {'timestamp': 1690204008187, 'instrument_name': 'ETH-26JUL23-1825-C', 'change_id': 34499480817, 'bids': [[0.014, 99.0]], 'asks': [[0.0215, 97.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1825-P.none.1.100ms'], 'usIn': 1690204008557398, 'usOut': 1690204008557509, 'usDiff': 111, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'method': 'subscription', 'params': {'channel': 'book.ETH-26JUL23-1825-P.none.1.100ms', 'data': {'timestamp': 1690204008187, 'instrument_name': 'ETH-26JUL23-1825-P', 'change_id': 34499492826, 'bids': [[0.004, 115.0]], 'asks': [[0.0045, 10.0]]}}}
2023-07-24 16:06:48 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (AbstractDataSaverManager.py)._save_after_adding(73) | Saved new instrument to map
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['book.ETH-26JUL23-1850-C.none.1.100ms'], 'usIn': 1690204008610307, 'usOut': 1690204008610408, 'usDiff': 101, 'testnet': False}
